generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash
0,150,48.98185776314439,0.044864984952867636,17.024290011135854,18.02907583774894,11.587080682129146,3668616543399647546
1,150,39.69962860126953,0.11562394956964467,10.103836005387116,11.592440696695125,8.323570718657356,-8501018236066020607
2,150,23.73743218429496,0.03882125424544959,5.471871263114114,6.795877895054767,5.561425906285768,-404940380371234055
3,150,15.633564996904237,0.05796449475141526,2.5280107909073637,3.662638696259697,3.1571933410548154,1045809387398282209
4,150,7.601884916138849,0.03882125424544959,1.43487232848041,1.8449441080738345,1.5724012787606811,-404940380371234055
5,150,6.079438665725254,0.03882125424544959,0.9051049825866075,1.1676573602133131,1.0098298147122204,-404940380371234055
6,150,2.9542530331651595,0.044864984952867636,0.4916124620397556,0.6485522680416634,0.554916427059025,3668616543399647546
7,150,2.386425257361164,0.044864984952867636,0.2976322940808757,0.3428348229668965,0.3167579690265386,3668616543399647546
8,150,0.5862706515260285,0.03882125424544959,0.13322543651929397,0.1831570123056701,0.1357356553846574,-404940380371234055
9,150,0.36761889256297847,0.03882125424544959,0.07976931945885672,0.10561409596656655,0.07784410014836256,-404940380371234055
10,150,0.2976322940808757,0.03882125424544959,0.05796449475141526,0.07640982899363229,0.046653382525274546,-404940380371234055
11,150,0.13322543651929397,0.03882125424544959,0.05192076404399722,0.05622124677496788,0.016602762283632153,-404940380371234055
12,150,0.09286882925740435,0.03882125424544959,0.05192076404399722,0.04862345378340596,0.008459459690493496,-404940380371234055
13,150,0.05796449475141526,0.03882125424544959,0.03882125424544959,0.04408072794064584,0.006264355105909046,-404940380371234055
14,150,0.05796449475141526,0.03882125424544959,0.03882125424544959,0.040889997459019216,0.004590442970658539,-404940380371234055
15,150,0.05192076404399722,0.03882125424544959,0.03882125424544959,0.039116788990245246,0.0017120616007387866,-404940380371234055
16,150,0.044864984952867636,0.03882125424544959,0.03882125424544959,0.038861545783499034,0.0004918209000441064,-404940380371234055
