generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash
0,150,-206,-15,-111.0,-109.03333333333333,39.39702470435497,1269222559789769500
1,150,-178,135,-91.0,-90.08,40.175368905172064,6265155435166828671
2,150,-157,-6,-79.0,-77.76,31.487072479564265,-4727825733560838976
3,150,-150,-8,-72.0,-70.94666666666667,29.51017602266867,-7150820587006900972
4,150,-147,118,-67.0,-65.84,32.53143710320833,-832178404067875215
5,150,-171,162,-57.5,-58.50666666666667,34.31884742949403,-4553392074297305045
6,150,-123,154,-59.0,-54.28666666666667,40.59217275397917,4441401295808393353
7,150,-139,140,-57.0,-54.22666666666667,43.292670151988645,1341257541428291721
8,150,-140,143,-50.5,-41.48,56.151072414810855,-5595738815250428316
9,150,-130,141,-43.5,-39.82,46.778780089552,2221495570479144915
10,150,-126,121,-43.0,-37.93333333333333,43.7757416334156,-1372983014199111370
11,150,-133,134,-49.0,-40.306666666666665,48.73287003883746,-8804794257317020539
12,150,-133,142,-45.0,-37.86666666666667,49.23801602646295,-7407853172150456352
13,150,-153,162,-42.5,-36.27333333333333,48.29270430291608,-6857746486838159451
14,150,-118,153,-48.0,-40.586666666666666,48.8794689914783,3539589743394795857
15,150,-125,145,-44.0,-38.406666666666666,52.47896044024585,3175030576846156300
16,150,-124,174,-47.0,-36.906666666666666,56.354987554095175,-6037509504415319774
