generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,1639.7207551036795,50.07494719286797,784.3993357652887,800.1597582372177,272.8806560601257,435.28306441407403  434.8875041195804,0
1,150,1271.2844098450114,120.56189044823964,603.1297003599232,608.3243966309972,216.6043898076468,394.6495089654742  403.63580582654106,0
2,150,1134.4277814575398,98.71530409239199,465.89186288128235,475.03339295407795,189.6876028364865,396.1847203040005  434.8875041195804,0
3,150,820.925751891043,101.53881793623327,338.6626108320363,359.6013096227243,169.1559126899455,395.7002443322066  434.8875041195804,0
4,150,733.6136947652099,24.802755426635258,249.6711551474051,269.99480709963115,125.63019837924114,422.88103870254497  434.8875041195804,0
5,150,508.1338265199822,28.19761751595979,198.6672033379698,206.77812687317171,91.35361586229133,426.49548613520983  434.8875041195804,0
6,150,413.50926327704155,24.802755426635258,147.39458617507535,155.22186553638005,69.72769552127187,422.88103870254497  434.8875041195804,0
7,150,291.3525617112641,24.802755426635258,133.81991332884434,117.61032060847583,56.068918864708785,422.88103870254497  434.8875041195804,0
8,150,248.57398999351244,24.802755426635258,50.10781761761916,80.634915666039,54.486352271228,422.88103870254497  434.8875041195804,0
9,150,159.58253430888135,24.802755426635258,29.00477386143143,51.80100100392436,40.191288746136365,422.88103870254497  434.8875041195804,0
10,150,134.34762409883706,24.802755426635258,29.00477386143143,35.31289195182587,20.87177153054111,422.88103870254497  434.8875041195804,0
11,150,124.26895389923607,24.802755426635258,28.19761751595979,29.7509901939977,8.60146538901016,422.88103870254497  434.8875041195804,3
12,150,40.936766527912596,24.802755426635258,28.19761751595979,28.302800919257667,1.28755700598085,422.88103870254497  434.8875041195804,5
13,150,29.00477386143143,24.802755426635258,28.19761751595979,27.88503651854305,1.037554187890168,422.88103870254497  434.8875041195804,14
14,150,29.00477386143143,24.802755426635258,28.19761751595979,27.56929096825569,1.3269886830426603,422.88103870254497  434.8875041195804,27
15,150,28.19761751595979,24.802755426635258,28.19761751595979,27.247056130948923,1.5242892976319946,422.88103870254497  434.8875041195804,41
16,150,28.19761751595979,24.802755426635258,28.19761751595979,26.658613368799337,1.690021618066226,422.88103870254497  434.8875041195804,67
