generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash
0,150,22.25712902528833,4.139771329097702,21.014547517605415,20.137297441229716,2.604941272596772,2623810242861087383
1,150,22.076149716224474,7.189133851865698,20.509641992406827,19.574090094112563,2.6327120594691076,7417386019309836164
2,150,21.902422706798664,10.217669928085124,19.171132954802204,18.325986920684937,2.596424811183409,7726064120743004112
3,150,21.42825483943521,4.139771329097702,17.204598420308876,16.638951339040414,3.4155606254501816,2623810242861087383
4,150,20.93070301488622,5.844388255771392,15.339825143534444,15.017592583888012,3.0795300237293546,-1571162249922342804
5,150,20.302702526207053,3.7284597875818766,13.809673834553674,13.440606071915532,3.1006469741422507,5664478413822274911
6,150,18.009305194986755,3.7284597875818766,11.930670396380979,11.494168937210814,2.955332149369449,5664478413822274911
7,150,16.74320275012333,3.7284597875818766,10.286671870054793,10.129838693119902,3.068804237884689,5664478413822274911
8,150,15.057658206133006,3.7284597875818766,8.483949594719345,8.580727515213757,2.6082251657280726,5664478413822274911
9,150,12.807335390891591,3.7284597875818766,7.091457790494088,7.062962986269479,1.9001201803281056,5664478413822274911
10,150,8.755950064302937,3.7284597875818766,5.872355276812009,5.987704857376406,1.2991799379385314,5664478413822274911
11,150,8.755950064302937,3.7284597875818766,5.6007081190951915,5.28972474241256,1.2014472458987813,5664478413822274911
12,150,7.1429165890740975,3.7284597875818766,4.465120260911252,4.646878945204993,0.9258605618404682,5664478413822274911
13,150,5.844388255771392,3.7284597875818766,3.7284597875818766,4.145760393506879,0.6450929549097645,5664478413822274911
14,150,5.6007081190951915,3.7284597875818766,3.7284597875818766,3.896235894627589,0.3874166520365441,5664478413822274911
15,150,4.793796343064322,3.7284597875818766,3.7284597875818766,3.738304108228532,0.09272117928794918,5664478413822274911
16,150,3.7284597875818766,3.7284597875818766,3.7284597875818766,3.7284597875818766,0.0,5664478413822274911
