num_generations,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash
0,150,70.55234074304566,5.677355695877156,37.82173545449839,38.41690396002745,13.620682877898577,7304868692881438550
1,150,65.51778916083721,2.0587295353000723,29.920233321275504,29.977634676985357,12.820613713245988,2702212307187943895
2,150,53.180956499644765,2.233358334851424,22.535364265821453,23.53582342707875,11.080919648504116,-3713354229509461449
3,150,41.71718965474613,2.3056320288972003,17.000727966359808,17.368903940184556,9.174571974868119,429413474217596269
4,150,31.305172829338353,1.996595199197193,10.68808295702362,12.182929071266578,6.620003438998133,4706470188512493180
5,150,21.807819746263878,2.1857604414907463,6.81720406356139,8.086734645849416,4.565113000302101,5080752511981721853
6,150,18.42526976485592,1.9766285558322974,5.401819279963994,5.844055859501274,2.8534540493869827,2522648652223665340
7,150,8.604940362604161,1.9766285558322974,3.735323508077813,4.162275281432454,1.539980682574516,2522648652223665340
8,150,6.5384895617895875,1.9766285558322974,3.32243072331634,3.3654505337050185,1.0958974761434226,2522648652223665340
9,150,5.779850004625318,1.9766285558322974,2.480260828448552,2.726883217583923,0.6272923690816263,2522648652223665340
10,150,3.6169311102741455,1.9766285558322974,2.233358334851424,2.4128271827184213,0.3884921660341455,2522648652223665340
11,150,3.32243072331634,1.9766285558322974,2.1857604414907463,2.2070324982381644,0.18436454308765182,2522648652223665340
12,150,2.480260828448552,1.9766285558322974,2.1857604414907463,2.114666702614692,0.11834066188794129,2522648652223665340
13,150,2.233358334851424,1.9766285558322974,1.996595199197193,2.0359013807122794,0.08642874344656623,2522648652223665340
14,150,2.1857604414907463,1.9766285558322974,1.9766285558322974,1.992304198801928,0.04130611078561703,2522648652223665340
15,150,1.996595199197193,1.9766285558322974,1.9766285558322974,1.9782258873014893,0.005416814558244061,2522648652223665340
16,150,1.996595199197193,1.9766285558322974,1.9766285558322974,1.9768947777438295,0.002290127476211621,2522648652223665340
