generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,22.256880276220347,2.834088903471184,20.717374877551165,19.72462971002474,3.0830537546855523,0.010402810803462614  1.0511019617383255,0
1,150,22.070529855397425,5.036075908473279,20.06614674305243,19.04670423420998,2.940770643610219,-1.25605360893028  -0.2459853530258016,0
2,150,21.5834392859165,2.834088903471184,18.872875080690868,17.445086363344572,3.6474336447625526,0.010402810803462614  1.0511019617383255,0
3,150,21.384591327896537,2.834088903471184,16.49668301841158,15.742498018238106,3.935994169915367,0.010402810803462614  1.0511019617383255,0
4,150,21.115870732572116,2.834088903471184,13.92417319529888,13.504975729478069,4.113747359031798,0.010402810803462614  1.0511019617383255,0
5,150,18.801757474268815,2.834088903471184,11.615051844205581,11.026323097592844,3.9543373248598614,0.010402810803462614  1.0511019617383255,2
6,150,17.925587545574423,2.834088903471184,9.561085259201777,9.45939959026172,3.170808985740343,0.010402810803462614  1.0511019617383255,5
7,150,14.500699800778825,2.834088903471184,7.685094361100129,7.6074495360931955,2.880695846908396,0.010402810803462614  1.0511019617383255,9
8,150,10.178814040350373,2.834088903471184,5.535389316680789,6.008452976206181,2.2453766087773728,0.010402810803462614  1.0511019617383255,16
9,150,9.415761745078173,2.834088903471184,3.84171485908518,4.450858390174268,1.5860998672625692,0.010402810803462614  1.0511019617383255,34
10,150,8.930244382611514,2.834088903471184,3.2528352220053844,3.583987417740214,0.936770191147793,0.010402810803462614  1.0511019617383255,62
11,150,5.81745756907107,2.834088903471184,2.834088903471184,3.1362903038351724,0.5687342514835013,0.010402810803462614  1.0511019617383255,102
12,150,3.84171485908518,2.834088903471184,2.834088903471184,2.878717485347459,0.19070337953730698,0.010402810803462614  1.0511019617383255,136
13,150,2.8366879647804137,2.834088903471184,2.834088903471184,2.834106230546579,0.00021150390946542746,0.010402810803462614  1.0511019617383255,148
14,150,2.834088903471184,2.834088903471184,2.834088903471184,2.834088903471184,0.0,0.010402810803462614  1.0511019617383255,149
15,150,2.834088903471184,2.834088903471184,2.834088903471184,2.834088903471184,0.0,0.010402810803462614  1.0511019617383255,149
16,150,2.834088903471184,2.834088903471184,2.834088903471184,2.834088903471184,0.0,0.010402810803462614  1.0511019617383255,149
