generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,[-2.9277297904528328, 10.36030757265961],[-8.313793180265774, -1.346292201201384],-3.0799974002776462,-0.15903458169283213,5.590329885813731,-0.9120840547830369  -0.14377013956121765,0
1,150,[-2.870059903932199, 15.115784167756026],[-7.486555785254475, -1.9765704745919126],-3.3796432212467096,-0.8247766258645668,5.3652031218223515,-1.3361251932517204  0.5564906550861402,0
2,150,[-3.0306286957482325, 7.132044073480008],[-6.683898568116988, -4.948895414435061],-3.7221771234409187,-1.5857067603749773,5.011912623351801,-0.9659797437040449  -1.7677002505657082,0
3,150,[-2.7989572071734363, 15.469007581868496],[-7.961606448728054, -0.8192457423190806],-3.702267929591807,-1.713260101988462,5.047590434500464,0.5235959050486949  -1.0123864782911896,0
4,150,[-3.7366228614639456, 10.547251592432017],[-8.133180474209198, 0.555561426677927],-3.8003503971099573,-2.171605006691707,4.538989670491739,0.6227763829546404  -0.824366390321897,17
5,150,[-3.0306286957482325, 7.132044073480008],[-8.313793180265774, -1.346292201201384],-3.973158021945584,-2.6582786014349615,4.28332335936945,-0.9120840547830369  -0.14377013956121765,0
6,150,[-3.9702388494116994, 13.422257167162424],[-7.297118832663362, -4.476830611560033],-4.209585042021699,-3.197107344136207,3.9987665771704055,-1.3426492498927542  -0.824366390321897,0
7,150,[-6.716530728802379, 7.6205026872712205],[-8.049628174146521, -0.5105803211930948],-4.942493191571815,-3.7931043587030726,3.70514227580869,0.5235959050486949  -0.9500682106946581,31
8,150,[-4.149973202006781, 5.288950877284855],[-7.128392050970209, -4.444354359291593],-5.779502503737293,-4.321482137405841,3.5651967351227327,-0.7671056457973036  -1.508673281585018,0
9,150,[-3.971229061675412, 5.070860181818255],[-8.549393284298286, 1.7487319748338086],-5.583670065978215,-4.462871262501687,3.3470397693175022,0.6227763829546404  -0.47562163772008326,89
10,150,[-4.61690628553643, 1.2680401170670335],[-7.967625343008925, -0.05458923638470381],-5.6560850373762,-4.672133380258901,3.1883451512872876,0.6227763829546404  -0.9500682106946581,145
11,150,[-3.9059366646197247, 0.12304870974726101],[-8.434987311889984, 0.7463895584001435],-5.358620072031509,-4.612305108784103,3.080373124873859,0.5235959050486949  -0.6708366325959023,64
12,150,[-3.833059694757421, 3.261294355282229],[-6.682755992681252, -6.920701589469017],-5.327886473400602,-4.605304573092985,3.160618465501059,-1.3361251932517204  -1.508673281585018,0
13,150,[-3.9059366646197247, 0.12304870974726101],[-7.626321732792672, -3.5420253126062073],-5.3778019312878085,-4.805345150532764,2.9610005469692218,-0.9659797437040449  -0.9500682106946581,134
14,150,[-3.9059366646197247, 0.12304870974726101],[-7.757042129495661, -2.9318746495435763],-6.138030494789383,-4.729189844133494,3.132132313337432,-0.9659797437040449  -0.824366390321897,36
15,150,[-7.060121409506986, -5.353722407174002],[-7.626321732792672, -3.5420253126062073],-6.174122868407817,-4.751402118487379,3.08161756920709,-0.9659797437040449  -0.9500682106946581,114
16,150,[-7.3741067889359355, -2.523677326166283],[-7.570632721002351, -2.2460509623956075],-5.982541707934743,-4.676027632093588,3.135756922198933,0.47229761207240184  -1.3089403150137455,121
